name,value
occupation,Bailarina
occupation,Bajista
occupation,Contramaestre
occupation,Calderero
occupation,Librero
occupation,Constructor
occupation,Taxista
occupation,Policía
occupation,Ebanista
occupation,Caligrafista
occupation,Call girl
occupation,Camarógrafo
occupation,Consejero de Campamento
occupation,Diseñador de automóviles
occupation,Cardiólogo
occupation,Carpintero
occupation,Cartógrafo
occupation,Dibujante
occupation,Carretero
occupation,Cajero
occupation,Celebridad
occupation,Violonchelista
occupation,Crítico
occupation,CEO (Director Ejecutivo)
occupation,CFO (Director Financiero)
occupation,Velero (velas)
occupation,Vendedor ambulante
occupation,Chófer
occupation,Animador
occupation,Quesero
occupation,Chef
occupation,Ingeniero químico
occupation,Técnico químico
occupation,Químico
occupation,Jefe de Policía
occupation,Oficial de primera
occupation,Deshollinador
occupation,Pedicuro
occupation,Quiropráctico
occupation,Coreógrafo
occupation,Acomodador de iglesias
occupation,Agente de la CIA 
occupation,Predicador de circuito
occupation,Funcionario público
occupation,Ingeniero Civil
occupation,Clarinetista
occupation,Limpiador
occupation,Empleado
occupation,Relojero
occupation,Entrenador
occupation,Cochero
occupation,Guardia costera
occupation,Zapatero
occupation,Científico cognitivo
occupation,Columnista
occupation,Comediante
occupation,Fabricante de brújulas
occupation,Compositor
occupation,Ingeniero informático
occupation,Programador informático
occupation,Conserje
occupation,Director de orquesta
occupation,Condestable
occupation,Ingeniero constructor
occupation,Administrador de obra
occupation,Trabajador de la construcción
occupation,Consul
occupation,Consultor
occupation,Administrador de contrato
occupation,Inspector
occupation,Juez de instrucción
occupation,Director corporativo
occupation,Carcelero
occupation,Corrector
occupation,Corresponsal
occupation,Cosmetólogo
occupation,Cosmonauta
occupation,Verdulero
occupation,Diseñador de ropa
occupation,Mensajero
occupation,Bufón de corte
occupation,Vaquero
occupation,Contador Público
occupation,Artesano
occupation,Ingeniero creativo
occupation,Pregonero
occupation,Arrendatario
occupation,Criptógrafo
occupation,Criptozoólogo
occupation,Cristalógrafo
occupation,Curandero
occupation,Guardia
occupation,Aduanero
occupation,Cuchillero
occupation,Bailarín
occupation,Instructor de baile
occupation,Administrador de base de datos (DBA)
occupation,Diputado
occupation,Diputado (parlamentario)
occupation,Demógrafo
occupation,Demolicionista
occupation,Dentista
occupation,Dermatólogo
occupation,Diseñador
occupation,Detective
occupation,Lapidario de diamantes
occupation,Dictador
occupation,Dietista
occupation,Diplomático
occupation,Director
occupation,Disc jockey
occupation,Transportista
occupation,Destilador
occupation,Buzo
occupation,Trabajador de muelle
occupation,Documentalista
occupation,Doctor (Doctorado)
occupation,Doctor en educación
occupation,Doctor (Médico)
occupation,Doctor en terapia física
occupation,Criador de perros
occupation,Perrero
occupation,Paseador de perros
occupation,Trabajador doméstico
occupation,Dominatrix
occupation,Entrenador de burros
occupation,Delineante
occupation,Dramaturgo
occupation,Mayorista
occupation,Conductor de carro
occupation,Modista
occupation,Instructor militar
occupation,Conductor
occupation,Traficante
occupation,Baterista
occupation,Tonelero
occupation,Yesero
occupation,Pintor
occupation,Ecologista
occupation,Economista
occupation,Editor
occupation,Educacionista
occupation,Educador
occupation,Egiptólogo
occupation,Ingeniero eléctrico
occupation,Electricista
occupation,Ascensorista
occupation,Embalsamador
occupation,Embriólogo
occupation,Técnico de emergencias médicas
occupation,Maquinista
occupation,Ingeniero
occupation,Grabador
occupation,Enólogo
occupation,Entomólogo
occupation,Empresario
occupation,Científico ambiental
occupation,Ergonomista
occupation,Escort
occupation,Agente inmobiliario
occupation,Esteticista
occupation,Etnólogo
occupation,Etólogo
occupation,Etimologista
occupation,Evangelista
occupation,Tesorero
occupation,Ejecutiva
occupation,Bailarina exótica
occupation,Exterminador
occupation,Extra
occupation,Halconero
occupation,Granjero
occupation,Herrador
occupation,Diseñador de modas
occupation,Agente FBI
occupation,Peletero
occupation,Cerca
occupation,Barquero
occupation,Cineasta
occupation,Productor
occupation,Asesor financiero
occupation,Analista financiero
occupation,Gerente de finanzas
occupation,Planificador financiero
occupation,Financiero
occupation,Departamento de bomberos
occupation,Oficial de bomberos
occupation,Bombero
occupation,Primer oficial
occupation,Pescadero
occupation,Pescador
occupation,Montador
occupation,Flautista
occupation,Químico de alimentos
occupation,Auxiliar de vuelo
occupation,Mecánico de velo
occupation,Instructor de vuelo
occupation,Gerente de planta
occupation,Florista
occupation,Flautista
occupation,Capataz
occupation,Forense
occupation,Frutero
occupation,Peletero
occupation,Guardabosques
occupation,Anfitrión de programa de juegos
occupation,Diseñador de juegos
occupation,Basurero
occupation,Jardinero
occupation,Portero
occupation,Tallador de gemas
occupation,Genealogista
occupation,General
occupation,Gesodesta
occupation,Geógrafo
occupation,Geólogo
occupation,Geómetra
occupation,Geofísico
occupation,Agente del gobierno
occupation,Gobernador
occupation,Filólogo
occupation,Artista gráfico
occupation,Sepulturero
occupation,Granadero
occupation,Tendero
occupation,Guía
occupation,Guitarrista
occupation,Armero
occupation,Ginecólogo
occupation,Garret
occupation,Mercero
occupation,Arpista
occupation,Peluquero
occupation,Personal de mantenimiento
occupation,Capitán de Puerto
occupation,Sombrerero
occupation,Guardia
occupation,Herbalista
occupation,Pastor
occupation,Historiador
occupation,Historiador
occupation,Calcetero
occupation,Entrenador de Caballos
occupation,Hotelero
occupation,Pintor de casas
occupation,Ama de casa
occupation,Cazador
occupation,Ingeniero hidraulico
occupation,Iluminador
occupation,Ilusionista
occupation,Ilustrador
occupation,Importador
occupation,Diseñador industrial
occupation,Ingeniero industrial
occupation,Industrial
occupation,Soldado de infantería
occupation,Arquitecto de información
occupation,Tecnólogo de información
occupation,Entintador
occupation,Mesonero
occupation,Instructor
occupation,Asegurador
occupation,Oficial de inteligencia
occupation,Decorador de interiores
occupation,Internista (Médico)
occupation,Intérprete
occupation,Interrogador
occupation,Inventor
occupation,Investigador
occupation,Analista de inversiones
occupation,Banquero de inversiones
occupation,Corredor de inversiones
occupation,Ferretero
occupation,Maestro herrero
occupation,Herrero
occupation,Joyero
occupation,Periodista
occupation,Jurista
occupation,Juez
occupation,Kinesiólogo
occupation,Rey
occupation,Ayundante de laboratorio
occupation,Peón
occupation,Terrateniente
occupation,Paisajista
occupation,Farero
occupation,Lavandero
occupation,Agente de aplicación de ley
occupation,Abogado
occupation,Trabajador del plomo
occupation,Maestro
occupation,Diseñador de niveles
occupation,Bibliotecario
occupation,Asistente de bibliotecario
occupation,Libretista
occupation,Socorrista
occupation,Técnico de iluminación
occupation,Juez de línea
occupation,Lingüista
occupation,Oficial de crédito
occupation,Lobbyist
occupation,Cerrajero
occupation,Operador logístico
occupation,Leñador
occupation,Letrista
occupation,Editor de revista
occupation,Mago
occupation,Magistrado
occupation,Doncella
occupation,Cartero
occupation,Maquillador artístico
occupation,Consultor de gestión
occupation,Gerente
occupation,Manicuro
occupation,Fabricante
occupation,Marino
occupation,Vendedor
occupation,Jardinero de huerto
occupation,Artes marciales
occupation,Albañil
occupation,Masajista terapeutico
occupation,Maestro de ceremonias (MC)
occupation,Matador
occupation,Ingeniero de materiales
occupation,Científico de materiales
occupation,Matemático
occupation,Matrona
occupation,Mecánico
occupation,Ingeniero mecánico
occupation,Mediador
occupation,Médico
occupation,Facturador médico
occupation,Tecnólogo médico
occupation,Transcriptor médico
occupation,Hipnotizador
occupation,Meteorólogo
occupation,Microbiólogo
occupation,Comadrona
occupation,Lechero
occupation,Fresador
occupation,Minero
occupation,Model
occupation,Modelador
occupation,Fabricante de moldes
occupation,Cambiador de divisas
occupation,Prestamista
occupation,Monje
occupation,Banquero hipotecario
occupation,Corredor de hipotecas
occupation,Funerario
occupation,Rescatador alpino
occupation,Alpinista
occupation,Muralista
occupation,Director de música
occupation,Músico
occupation,Niñera
occupation,Navegante
occupation,Comerciante de vino
occupation,Negociador
occupation,Neurocirujano
occupation,Presentador de noticias
occupation,Notario
occupation,Novelista
occupation,Ingeniero nuclear
occupation,Numerólogo
occupation,Numismático
occupation,Monja
occupation,Enfermero
occupation,Cuidadora
occupation,Oboista
occupation,Obstetra
occupation,Terapeuta ocupacional
occupation,Odontólogo
occupation,Ayudante de oficina
occupation,Oncólogo
occupation,Telefonista
occupation,Oftalmólogo
occupation,Optico
occupation,Oráculo
occupation,Marinero
occupation,Organista
occupation,Organizador
occupation,Ornitólogo
occupation,Ortodoncista
occupation,Ortopedista
occupation,mozo de cuadra
occupation,Otorrinolaringólogo
occupation,Pintor de brocha gorda
occupation,Paleontólogo
occupation,Instrutor de paracaidismo
occupation,Paralegal
occupation,Paramédico
occupation,Guardaparques
occupation,Abogado de patentes
occupation,Examinador de patentes
occupation,Patólogo
occupation,Pediatra
occupation,Edafólogo (suelo)
occupation,Pedagogo
occupation,Percusionista
occupation,Perfumista
occupation,Entrenador personal
occupation,Farmacéutico
occupation,Filántropo
occupation,Filólogo
occupation,Fotografo
occupation,Fisioterapeuta
occupation,Asistente Médico
occupation,Físico
occupation,Fisonomista
occupation,Fisiólogo
occupation,Fisioterapeuta
occupation,Pianista
occupation,Afinador de pianos
occupation,Piloto
occupation,Pirata
occupation,Cirujano plástico
occupation,Fontanero
occupation,Poeta
occupation,Policía (hombre)
occupation,Policía (mujer)
occupation,Oficial de policía
occupation,Inspector de policía
occupation,Politólogo
occupation,Presentador
occupation,Jefe de prensa
occupation,Principal
occupation,Impresor
occupation,Detective privado
occupation,Proctólogo
occupation,Catedrático
occupation,Profesional dominante
occupation,Programador
occupation,Jefe de Proyecto
occupation,Corrector de pruebas
occupation,Prostituta
occupation,Psiquiatra
occupation,Psicodramatista
occupation,Psicólogo
occupation,Relaciones Públicas
occupation,Orador
occupation,Radiólogo
occupation,Radiógrafo
occupation,Piloto de carreras
occupation,Agente de bienes raíces
occupation,Corredor de bienes raíces
occupation,Inversionista de bienes raíces
occupation,Desarrollador  de bienes raíces
occupation,Recepcionista
occupation,Productor discográfico
occupation,Ingeniero de grabación
occupation,Árbitro
occupation,Registrador
occupation,Profesor de apoyo
occupation,Reportero
occupation,Terapeuta respiratorio
occupation,Restaurador
occupation,Minorista
occupation,Velero
occupation,Ejecutivo de bajo sueldo
occupation,Cocinero de salsas
occupation,Saxofonista
occupation,Aserrador
occupation,Fabricante de vainas
occupation,Conductor de transporte escolar
occupation,Director de escuela
occupation,Superintendente de escuela
occupation,Científico
occupation,Explorador
occupation,Guionista
occupation,Escriba
occupation,Escultor
occupation,Costurero
occupation,Segundo de a bordo
occupation,Agente del servicio secreto
occupation,Secretaria
occupation,Secretario general
occupation,Funcionario
occupation,Sexólogo
occupation,Sacristán
occupation,Trabajador sexual
occupation,Esquilador
occupation,Chamán
occupation,Scott
occupation,Alguacil
occupation,Oficial de alguacil
occupation,Cantante
occupation,Trabajador social
occupation,Sociólogo
occupation,Arquitecto de software
occupation,Ingeniero de software
occupation,Gestor de proyectos de software
occupation,Edafólogo
occupation,Soldado
occupation,Procurador de tribunales
occupation,Sommelier
occupation,Ingeniero de sonido
occupation,Agente especial
occupation,Especialista
occupation,Logopeda
occupation,Terapeuta deportivo
occupation,Escenógrafo
occupation,Estadístico
occupation,Azafata/o
occupation,Corredor de bolsa
occupation,Gerente de local
occupation,Artista callejero
occupation,Músico callejero
occupation,Vendedor callejero
occupation,Stripper
occupation,Ingeniero de estructuras
occupation,Estudiante
occupation,Coordinador de doblaje
occupation,Doble especialista
occupation,Actor de doblaje
occupation,Cirujano
occupation,Técnico quirúrgico
occupation,Topógrafo
occupation,Nadador
occupation,Telefonista de centralita
occupation,Administrador de sistemas
occupation,Diseñador de sistemas
occupation,Analista de sistemas
occupation,Sastre
occupation,Tapicero
occupation,Recaudador de impuestos
occupation,Taxidermista
occupation,Taxónomo
occupation,tea lady
occupation,Profesor
occupation,Técnico
